epoch,train_loss,val_loss,val_acc
1,0.602989129491688,0.5406319931149483,0.7451612903225806
2,0.5381716569674384,0.5569831371307373,0.7137096774193549
3,0.5138942923435231,0.547916465997696,0.7185483870967742
4,0.493597352320386,0.4759047359228134,0.771774193548387
5,0.4708152227487761,0.45998507738113403,0.7774193548387097
6,0.4508021937817642,0.4151983141899109,0.8306451612903226
7,0.4387996851168957,0.4658748865127563,0.7758064516129032
8,0.4208884851373348,0.4182489112019539,0.8056451612903226
9,0.3940894273445778,0.3796695709228516,0.8306451612903226
10,0.37893745095766695,0.3653624251484871,0.8459677419354839
11,0.3584054220736641,0.36539570316672326,0.8403225806451613
12,0.336964957032007,0.2690746061503887,0.8790322580645161
13,0.309811334941805,0.27237261906266214,0.882258064516129
14,0.29150189244255575,0.24909259006381035,0.8919354838709678
15,0.27551997506741394,0.34040403738617897,0.8524193548387097
