date,forecast,lower,upper
2025-01-01,18.401820603120633,11.684447349693507,25.11919385654776
2025-02-01,17.771077331463704,11.044472760581597,24.49768190234581
2025-03-01,18.00538811721349,11.279441252174646,24.73133498225233
2025-04-01,19.660892056531864,12.935600657891431,26.386183455172297
2025-05-01,18.975289745966876,12.250651595488366,25.699927896445388
2025-06-01,18.489219281931888,11.765232168677688,25.213206395186088
2025-07-01,18.497599984002665,11.774261704311247,25.220938263694084
2025-08-01,18.325093341172924,11.602401698636248,25.047784983709597
2025-09-01,18.6098484762343,11.887801281675301,25.3318956707933
2025-10-01,18.58617702071255,11.864772092162665,25.307581949262435
2025-11-01,18.515851260310157,11.795086422986891,25.236616097633423
2025-12-01,17.918777917654218,11.198651000876854,24.63890483443158
