date,forecast,lower,upper
2025-01-01,18.794710366738872,13.085301401348204,24.50411933212954
2025-02-01,19.161516186415977,13.447363112945808,24.875669259886145
2025-03-01,18.918135651950585,13.201752025582213,24.634519278318958
2025-04-01,20.477801570567898,14.759145927411147,26.19645721372465
2025-05-01,19.493381372793543,13.772411499025711,25.214351246561375
2025-06-01,19.578670337207512,13.855343251846783,25.301997422568242
2025-07-01,19.81356030804133,14.087832249633617,25.53928836644904
2025-08-01,20.6863527646366,14.958179177734085,26.414526351539113
2025-09-01,20.304497746035434,14.573833267464336,26.03516222460653
2025-10-01,20.183723665635384,14.450522110550516,25.916925220720252
2025-11-01,21.66901314613881,15.933227493862484,27.404798798415136
2025-12-01,20.737334459418577,14.99891684033183,26.475752078505323
