date,forecast,lower,upper
2025-01-01,17.33732323317335,11.855950814706858,22.818695651639842
2025-02-01,17.043717805738005,11.561926373575304,22.525509237900707
2025-03-01,16.82518530599607,11.344818883225644,22.305551728766496
2025-04-01,16.553578627538986,11.074620222540208,22.032537032537764
2025-05-01,16.48418365429137,11.006616473973123,21.961750834609617
2025-06-01,16.546008611636196,11.069816059094027,22.022201164178366
2025-07-01,16.497055165339898,11.02222083765929,21.971889493020505
2025-08-01,16.26847052612735,10.794978212209411,21.741962840045286
2025-09-01,16.41097476914515,10.938808447554527,21.88314109073577
2025-10-01,16.238930084858712,10.768073921693553,21.70978624802387
2025-11-01,16.227326451678984,10.757764798462775,21.696888104895194
2025-12-01,15.97127395842883,10.502991350014895,21.439556566842764
