ds,yhat,yhat_lower,yhat_upper
2022-01-01,17.509008722504845,15.93451040708895,19.02069370944745
2022-02-01,14.995585261037476,13.510265200448963,16.70298653602925
2022-03-01,16.464727138777516,14.91673052807405,18.049734219573843
2022-04-01,20.333926057055365,18.821292060052293,21.868559988890166
2022-05-01,16.8461354971334,15.292546595653038,18.386344981180308
2022-06-01,18.13667284049031,16.593513779497783,19.708199605436363
2022-07-01,18.280651773316087,16.806412582691674,19.88152163239653
2022-08-01,18.057375395095697,16.506359362688723,19.753657112383838
2022-09-01,19.13591926304844,17.574036055897842,20.736837323758735
2022-10-01,17.403187077930333,15.870656701697868,19.013495724777357
2022-11-01,19.098996814854132,17.43969480620535,20.582902533441928
2022-12-01,15.707811525964383,14.162576524262365,17.24242171325408
2023-01-01,16.27772336048351,14.757424687404878,17.826814262648572
2023-02-01,15.224285556555024,13.801391859386824,16.847504418327908
2023-03-01,15.338628815293902,13.893364183727538,16.903683474029844
2023-04-01,16.15810881385328,14.68740409812075,17.678203011214556
2023-05-01,15.587120854649296,14.088498469107073,17.157944006978596
2023-06-01,17.832924899519206,16.367536512434018,19.335633575711874
2023-07-01,17.45214214604974,15.924565156462135,18.864998270146685
2023-08-01,15.223938374094558,13.7509528403711,16.78107199890003
2023-09-01,19.16756062118037,17.663286587747695,20.76714209102494
2023-10-01,17.585604372983358,16.035173138770343,19.06521022992984
2023-11-01,16.01856199334716,14.563378632309915,17.667788154260567
2023-12-01,15.188904939896638,13.583073223314791,16.746996935616732
2024-01-01,16.214274532709485,14.640135830626468,17.772773338686676
2024-02-01,16.77706483485418,15.139080083260755,18.309992310793266
2024-03-01,14.197389222631344,12.583699965948977,15.880592110940597
2024-04-01,24.50469250192165,22.93340999092213,25.984225051960085
2024-05-01,15.565157264824377,13.857842593928334,17.049275758105555
2024-06-01,15.026336181333079,13.615333980547327,16.647243967074818
2024-07-01,16.269134985125103,14.716012673626857,17.767241830235513
2024-08-01,20.71929785189572,19.10541869063854,22.252974980929924
2024-09-01,16.695160233836543,15.243265364095926,18.298007565873974
2024-10-01,15.015605889130532,13.40931395817393,16.555718379693023
2024-11-01,23.8828827184825,22.306969112026955,25.537466799710213
2024-12-01,16.106415131703354,14.515274395733593,17.74859534462407
2025-01-01,16.318463634267136,14.766640646550252,17.894847834086953
2025-02-01,12.502961859048334,10.905151636015415,13.983749454620595
2025-03-01,15.43406273490795,13.831480308477397,16.905691325251695
2025-04-01,22.593978924186278,21.01527082140629,24.120597537957586
2025-05-01,16.43876889330381,14.892912123733975,17.94893204831898
2025-06-01,16.927764357543936,15.361518129014694,18.456131525138886
2025-07-01,17.736530623169575,16.118017309567534,19.22414910916923
2025-08-01,19.93013025243874,18.392699732330996,21.510707976326916
2025-09-01,18.542239889354267,17.041509838677786,20.099453288853585
2025-10-01,16.961195615915912,15.330183012980571,18.517404559591153
2025-11-01,22.326572534937213,20.625262366583268,23.751498172588768
2025-12-01,16.80337041140665,15.246027929053367,18.35806767549418
