ds,yhat,yhat_lower,yhat_upper
2022-01-01,19.60603010999701,16.592363089599697,22.2539562634012
2022-02-01,17.633883872276574,14.766061995044964,20.379605883430656
2022-03-01,18.72717823397362,15.838520861413805,21.50534766171029
2022-04-01,16.19403548322034,13.354809728497749,18.959712888655353
2022-05-01,13.654521040714764,10.843571402648468,16.3800608664914
2022-06-01,17.102285298204695,14.313933427751758,19.719061501985895
2022-07-01,17.34189421835532,14.663786428079828,19.96514600566671
2022-08-01,21.39958974956194,18.690389238478073,24.18953126972729
2022-09-01,18.680292915633554,16.112785214341326,21.401311872144028
2022-10-01,16.119129443868733,13.49630446158061,18.77328089287547
2022-11-01,17.303815275680865,14.41185341792936,19.95049995172056
2022-12-01,18.75758698209332,15.989004991867388,21.312585667413455
2023-01-01,20.322039177478015,17.716549344793012,23.03398589427064
2023-02-01,19.66943886518869,16.876297320661628,22.131136631552405
2023-03-01,18.386076334617265,15.839250193614387,20.995101476072037
2023-04-01,18.22279218941069,15.449257212319914,20.848659595282662
2023-05-01,13.033964161383231,10.177022295176414,15.724184323106345
2023-06-01,16.93538504678096,14.109330345740627,19.699108632764933
2023-07-01,17.04567886331132,14.513811680250559,19.741085682316513
2023-08-01,25.136116323239364,22.525438421721308,27.97792476278038
2023-09-01,19.062583443652247,16.33877271497387,21.736347378239362
2023-10-01,15.934174345591812,13.373610765507989,18.752083526742503
2023-11-01,17.70877566366811,15.073151564455744,20.391626732943894
2023-12-01,18.576967809571403,16.053070600805736,21.448362578239973
2024-01-01,21.07000680449446,18.356788591848822,23.76034624181061
2024-02-01,21.70108679066676,18.95652015401468,24.347397647525405
2024-03-01,21.884270316836428,19.09332000165853,24.52639137864192
2024-04-01,14.588904869610262,11.791671791215304,17.299656007878653
2024-05-01,17.30909999882223,14.615482536629115,20.188710853533614
2024-06-01,19.963552718478084,17.25025804365818,22.77731890802107
2024-07-01,20.60574100295528,17.832326535673165,23.54096939942997
2024-08-01,16.454448380749714,13.7247039102148,19.41872269297765
2024-09-01,20.252325729136047,17.43245247656429,23.096845403968597
2024-10-01,18.932971147207883,16.27189914468493,21.376451692732445
2024-11-01,18.97800790943103,16.217073222088153,21.60745237383795
2024-12-01,21.655061905044906,19.166225540972533,24.552801545211032
2025-01-01,21.41631733299802,18.81770786874462,24.13337847142653
2025-02-01,18.090050403240387,15.297915340309785,20.946473872911607
2025-03-01,21.552923362346256,18.70185127261468,24.023257674063586
2025-04-01,16.641696734094694,13.94015088647782,19.26612174102226
2025-05-01,16.73911615040116,13.807325959257126,19.41545943882013
2025-06-01,19.771012428602564,16.891419134874454,22.29610778426382
2025-07-01,20.18728860519575,17.637552764384008,23.116477311458855
2025-08-01,20.162843955906776,17.62431244973723,22.79400984073577
2025-09-01,20.73462966132534,18.035397138048253,23.47500039708876
2025-10-01,18.776685482667652,16.051988355887097,21.227375478562777
2025-11-01,19.384401431427456,16.599264735366077,22.30638631869142
2025-12-01,21.440862363301925,18.764711645012692,23.9717020675837
