date,forecast,lower,upper
2025-01-01,17.144204914903902,11.90411342889014,22.384296400917663
2025-02-01,16.88932112656417,11.652307433006932,22.126334820121407
2025-03-01,17.22561138514223,11.989000208035511,22.462222562248947
2025-04-01,16.82248426335916,11.586273816334174,22.05869471038415
2025-05-01,17.106923870713977,11.871112383137158,22.342735358290795
2025-06-01,17.307530692044907,12.072116400974604,22.54294498311521
2025-07-01,16.719949640276752,11.484930790430901,21.954968490122603
2025-08-01,17.389675934315,12.155050778038973,22.62430109059103
2025-09-01,17.06955794543571,11.835324742670295,22.303791148201128
2025-10-01,17.127718822861002,11.893875841110503,22.3615618046115
2025-11-01,16.726481079261927,11.493026593562409,21.959935564961444
2025-12-01,16.676824092677663,11.443756387527083,21.909891797828244
